Date,Inflation Rate,Unemployment Rate,Bonds Yield,FEDFUNDS
2023-01-01,6.4,3.4,4.4,4.33
2023-02-01,6.0,3.6,4.56,4.57
2023-03-01,5.0,3.5,4.6,4.65
2023-04-01,4.9,3.4,4.47,4.83
2023-05-01,4.0,3.7,4.67,5.06
2023-06-01,3.0,3.6,4.65,5.08
2023-07-01,3.2,3.5,4.66,5.12
2023-08-01,3.7,3.8,4.95,5.33
2023-09-01,3.7,3.8,5.13,5.33
2023-10-01,3.2,3.8,5.61,5.33
2023-11-01,3.1,3.7,5.28,5.33
2023-12-01,3.4,3.7,4.74,5.33
2024-01-01,3.1,3.7,4.87,5.33
2024-02-01,3.2,3.9,5.03,5.33
2024-03-01,3.5,3.8,5.01,5.33
2024-04-01,3.4,3.9,5.28,5.33
2024-05-01,3.3,4.0,5.25,5.33
2024-06-01,3.0,4.1,5.13,5.33
2024-07-01,2.9,4.3,5.12,5.33
2024-08-01,2.5,4.2,4.87,5.33
2024-09-01,2.4,4.1,4.68,5.13
2024-10-01,2.6,4.1,4.95,4.83
